,input_size,tft_mae
201,202,28446.03289967147
199,200,28451.53244203549
138,139,28456.941437851387
144,145,28469.08278199365
200,201,28482.41149538277
198,199,28504.22962148387
202,203,28520.202793957393
115,116,28555.586696699364
143,144,28583.17854333072
186,187,28601.300608833255
120,121,28669.911230182963
62,63,28736.546866756275
80,81,28860.080954118737
64,65,28876.689086963925
111,112,28887.39076731685
204,205,28944.042381943003
110,111,28944.100429973754
91,92,28970.450593240075
203,204,28983.57598549949
137,138,28990.29301953742
61,62,29012.162025886373
147,148,29017.55879628386
162,163,29019.24209119014
180,181,29114.854473512314
174,175,29153.877746538044
63,64,29198.964043609176
139,140,29212.44737258407
166,167,29429.623429279985
145,146,29452.9024993139
88,89,29500.838163723714
185,186,29556.07345904193
149,150,29674.704740993504
175,176,29798.57817092888
187,188,29805.03521852302
196,197,29840.835624937146
122,123,29853.164075740595
121,122,29984.46037455452
68,69,30064.78045823653
70,71,30163.59380813193
112,113,30273.91812152776
74,75,30401.47610401384
113,114,30636.57260636039
127,128,30701.786315833924
176,177,30961.303320272527
206,207,31028.740159976183
99,100,31049.398959662376
36,37,31150.316062172835
130,131,31158.858230059865
141,142,31187.81240108497
182,183,31230.80913878717
189,190,31492.812146109347
205,206,31568.654612265786
173,174,31889.112247203753
207,208,31913.2054741912
98,99,32519.891274400405
184,185,32838.711255981834
69,70,32868.65140776861
134,135,32902.35969751756
100,101,32941.968353375305
37,38,33209.41664050919
73,74,33406.631664044755
123,124,33514.24718444225
140,141,33859.24247732927
148,149,34005.89136842953
79,80,34127.871792182836
38,39,34414.426708500825
133,134,35044.730089680656
118,119,35134.82619323714
136,137,35283.59031457605
177,178,35319.91640765547
103,104,35497.26528269245
209,210,35544.92597829914
181,182,35626.36511271337
71,72,35924.461802203805
75,76,35994.23416099042
117,118,36021.94428128331
101,102,36190.10177343812
72,73,36199.74501350088
183,184,36241.05716340861
102,103,36447.58379488163
93,94,36499.50828494439
89,90,36783.84896224565
194,195,38199.404248294246
155,156,38350.20412993581
135,136,38423.707987833994
171,172,38745.35390765547
142,143,39175.96422684994
94,95,39459.18251921396
25,26,39580.73841618048
