,harga_emas,kurs_jual,kurs_beli,data_inflasi,suku_bunga_bi
2023-05-01,1065853.632,14835.3324,14711.098,0.0432,5.7596
2023-05-02,1075033.9896,14858.6924,14717.3308,0.0429,5.7609
2023-05-03,1077176.9772,14869.798,14720.3091,0.0432,5.7572
2023-05-04,1076967.6463,14863.953,14716.4323,0.0433,5.714
2023-05-05,1074917.9489,14868.2101,14720.0328,0.0433,5.6775
2023-05-08,1075279.7631,14870.0903,14729.6781,0.0432,5.6033
2023-05-09,1077925.3786,14873.5524,14734.1326,0.0432,5.53
2023-05-10,1076695.6665,14897.744,14747.1855,0.0432,5.5577
2023-05-11,1073119.5703,14896.3981,14731.7386,0.0432,5.5555
2023-05-12,1074583.1467,14885.5557,14728.5407,0.0432,5.5621
2023-05-15,1074854.4702,14893.119,14734.3133,0.0432,5.5664
2023-05-16,1076696.2331,14894.0297,14740.6672,0.0432,5.5595
2023-05-17,1075734.9341,14902.078,14742.153,0.0428,5.5513
2023-05-18,1077747.4357,14886.5498,14743.3395,0.0428,5.5497
2023-05-19,1078402.9731,14888.3447,14738.4779,0.0428,5.549
2023-05-22,1078187.9799,14889.298,14741.7612,0.0428,5.5495
2023-05-23,1078228.4305,14889.2741,14746.0098,0.0428,5.5481
2023-05-24,1077769.4444,14881.2233,14752.4553,0.0428,5.5473
2023-05-25,1079425.1351,14885.2135,14754.4421,0.0428,5.5503
2023-05-26,1079541.6011,14888.9643,14758.1266,0.0428,5.5492
2023-05-29,1078542.8802,14911.4716,14755.0061,0.0428,5.5513
2023-05-30,1079007.2178,14921.0423,14774.7309,0.0428,5.5531
2023-05-31,1078325.2396,14926.6789,14776.8982,0.042,5.5632
2023-06-01,1079426.9494,14924.8914,14762.903,0.043,5.5576
2023-06-02,1080589.1969,14922.5676,14765.2214,0.0427,5.5549
2023-06-05,1079949.4764,14925.0314,14765.3878,0.0427,5.5531
2023-06-06,1080046.839,14927.3774,14768.0024,0.0427,5.5475
2023-06-07,1078904.4066,14920.8184,14770.3472,0.0427,5.5468
2023-06-08,1080588.1154,14924.4104,14771.0789,0.0427,5.5472
2023-06-09,1081233.1874,14928.6637,14774.1453,0.0427,5.5481
2023-06-12,1080709.1232,14926.2378,14774.3735,0.0427,5.55
2023-06-13,1080934.2159,14926.1493,14778.9806,0.0427,5.5523
2023-06-14,1080155.854,14930.1396,14782.9636,0.0427,5.5544
2023-06-15,1081053.6491,14933.8904,14786.6481,0.0427,5.5506
2023-06-16,1082013.457,14935.6281,14783.5276,0.0426,5.5426
2023-06-19,1081028.9386,14938.2719,14788.0164,0.0426,5.5385
2023-06-20,1081413.6709,14939.8643,14789.5864,0.0426,5.5364
2023-06-21,1080799.8444,14939.9273,14789.6226,0.0426,5.5357
2023-06-22,1082754.3584,14942.4938,14792.2198,0.0426,5.54
2023-06-23,1083160.1854,14947.1552,14796.797,0.0426,5.5391
2023-06-26,1082280.3861,14949.5012,14798.0376,0.0426,5.5395
2023-06-27,1082560.9155,14949.5608,14800.3825,0.0426,5.539
2023-06-28,1081505.1844,14953.6402,14804.3948,0.0413,5.5373
2023-06-29,1082133.1113,14957.8935,14807.4612,0.0426,5.5457
2023-06-30,1083380.2889,14957.4478,14806.9272,0.0426,5.5482
2023-07-03,1082924.3765,14957.3594,14806.889,0.0426,5.5445
2023-07-04,1083579.9139,14961.3496,14810.872,0.0426,5.526
2023-07-05,1082726.8425,14965.1005,14814.5565,0.0426,5.5229
2023-07-06,1084325.6212,14962.5856,14812.0491,0.0425,5.5205
2023-07-07,1084786.8851,14967.0799,14816.5379,0.0425,5.5171
2023-07-10,1083704.6461,14968.6723,14818.1079,0.0425,5.5164
2023-07-11,1083640.3777,14968.7353,14818.144,0.0425,5.5157
2023-07-12,1082946.9459,14971.3018,14820.7413,0.0425,5.5215
2023-07-13,1084028.5492,14975.9632,14825.3184,0.0425,5.5241
2023-07-14,1085546.5319,14978.3092,14827.6164,0.0425,5.517
2023-07-17,1084851.3745,14978.3688,14827.6994,0.0425,5.5099
2023-07-18,1087929.9267,14982.4482,14831.7116,0.0425,5.5092
2023-07-19,1085751.8078,14986.7014,14835.9827,0.0425,5.507
2023-07-20,1088330.2329,14986.2558,14835.4487,0.0424,5.5081
2023-07-21,1085203.2457,14986.1674,14835.4105,0.0424,5.5072
2023-07-24,1086736.3843,14990.1576,14839.3935,0.0424,5.5068
2023-07-25,1087173.4484,14993.9084,14843.078,0.0424,5.5092
2023-07-26,1088508.478,14991.3936,14840.5706,0.0424,5.5082
2023-07-27,1087809.1253,14995.8879,14845.0594,0.0424,5.5107
2023-07-28,1087632.3494,14997.4803,14846.6293,0.0424,5.5134
2023-07-31,1091449.582,14997.5433,14846.6655,0.0424,5.5219
2023-08-01,1078851.8353,15000.1097,14849.2627,0.0424,5.5181
2023-08-02,1078324.0512,15004.7712,14853.8399,0.0424,5.5158
2023-08-03,1073603.2054,15007.1172,14856.1378,0.0423,5.5135
2023-08-04,1074055.2227,15007.1768,14856.2208,0.0424,5.5097
2023-08-07,1073850.1272,15011.2562,14860.2331,0.0424,5.509
2023-08-08,1074786.8293,15015.5094,14864.5042,0.0423,5.5083
2023-08-09,1075139.9518,15015.0638,14863.9702,0.0423,5.5092
2023-08-10,1074282.4969,15014.9754,14863.932,0.0423,5.51
2023-08-11,1078903.6564,15018.9656,14867.915,0.0423,5.5125
2023-08-14,1076971.7864,15022.7164,14871.5995,0.0423,5.5149
2023-08-15,1077608.5109,15020.2016,14869.092,0.0423,5.5111
2023-08-16,1077212.8719,15024.6959,14873.5809,0.0423,5.5041
2023-08-17,1077110.6984,15026.2883,14875.1508,0.0423,5.5003
2023-08-18,1076222.7285,15026.3513,14875.187,0.0423,5.4965
2023-08-21,1080708.2807,15028.9177,14877.7842,0.0423,5.4958
2023-08-22,1079392.6462,15033.5792,14882.3614,0.0422,5.5014
2023-08-23,1079623.7041,15035.9252,14884.6593,0.0422,5.5007
2023-08-24,1077735.4044,15035.9848,14884.7423,0.0422,5.5
2023-08-25,1076561.5742,15040.0641,14888.7546,0.0422,5.4993
2023-08-28,1076907.1696,15044.3174,14893.0257,0.0422,5.4986
2023-08-29,1078804.0585,15043.8718,14892.4917,0.0422,5.5073
2023-08-30,1079862.6903,15043.7834,14892.4534,0.0422,5.5098
2023-08-31,1081431.9144,15047.7736,14896.4364,0.042,5.5059
2023-09-01,1079658.811,15051.5244,14900.1209,0.0417,5.4865
2023-09-04,1078800.5018,15049.0096,14897.6135,0.0419,5.4858
2023-09-05,1078736.2334,15053.5039,14902.1023,0.0419,5.482
2023-09-06,1081485.6297,15055.0963,14903.6723,0.0419,5.4782
2023-09-07,1080863.2485,15055.1593,14903.7084,0.0419,5.4775
2023-09-08,1080434.325,15057.7257,14906.3057,0.0419,5.4768
2023-09-11,1080252.1208,15062.3872,14910.8828,0.0419,5.4824
2023-09-12,1080080.087,15064.7332,14913.1808,0.0419,5.4848
2023-09-13,1078134.4837,15064.7928,14913.2638,0.0419,5.4779
2023-09-14,1080260.6745,15068.8721,14917.2761,0.0419,5.4709
2023-09-15,1081386.3982,15073.1254,14921.5471,0.0418,5.4702
2023-09-18,1082917.2867,15072.6798,14921.0131,0.0418,5.468
2023-09-19,1081327.9915,15072.5914,14920.9749,0.0418,5.4689
2023-09-20,1080111.2399,15076.5816,14924.9579,0.0418,5.4682
2023-09-21,1081252.9497,15080.3324,14928.6424,0.0418,5.4675
2023-09-22,1082389.0644,15077.8176,14926.135,0.0418,5.4699
2023-09-25,1083991.3595,15082.3118,14930.6238,0.0418,5.4692
2023-09-26,1082815.8706,15083.9043,14932.1938,0.0418,5.4717
2023-09-27,1080960.8209,15083.9673,14932.2299,0.0418,5.4741
2023-09-28,1081662.3735,15086.5337,14934.8271,0.0417,5.4829
2023-09-29,1082163.1564,15091.1952,14939.4043,0.0417,5.4791
2023-10-02,1082598.1,15093.5412,14941.7022,0.0421,5.4768
2023-10-03,1083962.599,15093.6008,14941.7852,0.0418,5.4745
2023-10-04,1082904.0105,15097.6801,14945.7975,0.0418,5.4707
2023-10-05,1082972.0557,15101.9334,14950.0686,0.0418,5.47
2023-10-06,1082996.2073,15101.4878,14949.5346,0.0418,5.4693
2023-10-09,1084030.978,15101.3994,14949.4964,0.0418,5.4702
2023-10-10,1084156.3587,15105.3896,14953.4794,0.0418,5.471
2023-10-11,1084620.6963,15109.1404,14957.1639,0.0418,5.4735
2023-10-12,1085043.2259,15106.6256,14954.6565,0.0418,5.4759
2023-10-13,1084142.9357,15111.1198,14959.1453,0.0417,5.4721
2023-10-16,1085282.4254,15112.7123,14960.7152,0.0417,5.4652
2023-10-17,1085562.9549,15112.7753,14960.7514,0.0417,5.4613
2023-10-18,1085427.3097,15115.3417,14963.3486,0.0417,5.4575
2023-10-19,1084264.0022,15120.0032,14967.9258,0.0417,5.4568
2023-10-20,1084389.3829,15122.3491,14970.2237,0.0417,5.4624
2023-10-23,1084853.7205,15122.4088,14970.3067,0.0417,5.4617
2023-10-24,1085223.5626,15126.4881,14974.319,0.0417,5.461
2023-10-25,1086574.0381,15130.7414,14978.5901,0.0417,5.4603
2023-10-26,1085515.4497,15130.2958,14978.0561,0.0417,5.4597
2023-10-27,1085795.9791,15130.2074,14978.0178,0.0416,5.4683
2023-10-30,1085607.6464,15134.1976,14982.0009,0.0416,5.4708
2023-10-31,1086642.4171,15137.9484,14985.6854,0.0416,5.467
2023-11-01,1086767.7978,15135.4336,14983.1779,0.0416,5.4475
2023-11-02,1087232.1354,15139.9278,14987.6667,0.0416,5.4468
2023-11-03,1087654.665,15141.5203,14989.2367,0.0416,5.443
2023-11-06,1086754.3748,15141.5833,14989.2729,0.0415,5.4392
2023-11-07,1087893.8645,15144.1497,14991.8701,0.0415,5.4385
2023-11-08,1088174.394,15148.8112,14996.4473,0.0415,5.4378
2023-11-09,1087963.8191,15151.1571,14998.7452,0.0414,5.4434
2023-11-10,1086800.5117,15151.2168,14998.8282,0.0414,5.4458
2023-11-13,1086925.8924,15155.2961,15002.8405,0.0414,5.4389
2023-11-14,1087390.23,15159.5494,15007.1115,0.0414,5.432
2023-11-15,1087760.072,15159.1038,15006.5775,0.0414,5.4313
2023-11-16,1089110.5475,15159.0154,15006.5393,0.0414,5.429
2023-11-17,1088051.9591,15163.0056,15010.5223,0.0414,5.4299
2023-11-20,1088332.4886,15166.7564,15014.2068,0.0414,5.4292
2023-11-21,1088144.1559,15164.2416,15011.6994,0.0414,5.4285
2023-11-22,1089178.9265,15168.7358,15016.1882,0.0414,5.4309
2023-11-23,1089304.3072,15170.3282,15017.7582,0.0413,5.4303
2023-11-24,1089768.6448,15170.3912,15017.7943,0.0413,5.4327
2023-11-27,1090191.1744,15172.9577,15020.3916,0.0413,5.4351
2023-11-28,1089290.8843,15177.6192,15024.9687,0.0413,5.4439
2023-11-29,1090430.374,15179.9651,15027.2667,0.0413,5.4401
2023-11-30,1090710.9035,15180.0248,15027.3497,0.0413,5.4378
2023-12-01,1090575.2583,15184.1041,15031.362,0.0413,5.4356
2023-12-04,1089411.9508,15188.3574,15035.633,0.0413,5.4317
2023-12-05,1089537.3315,15187.9118,15035.099,0.0413,5.431
2023-12-06,1090001.6691,15187.8234,15035.0608,0.0413,5.4303
2023-12-07,1089973.808,15191.8136,15039.0438,0.0412,5.4312
2023-12-08,1091324.2835,15195.5644,15042.7283,0.0412,5.4321
2023-12-11,1091512.1248,15193.0496,15040.2209,0.0412,5.4345
2023-12-12,1090723.6699,15197.5438,15044.7097,0.0412,5.4369
2023-12-13,1090535.3372,15199.1362,15046.2796,0.0412,5.4331
2023-12-14,1092816.5375,15199.1992,15046.3158,0.0412,5.4262
2023-12-15,1091642.7073,15201.7657,15048.913,0.0406,5.4224
2023-12-18,1091468.084,15206.4271,15053.4902,0.0406,5.4186
2023-12-19,1092582.3557,15208.7731,15055.7881,0.0405,5.4179
2023-12-20,1090409.1984,15208.8328,15055.8711,0.0405,5.4234
2023-12-21,1089310.2428,15212.9121,15059.8834,0.0405,5.4227
2023-12-22,1091819.4676,15217.1654,15064.1545,0.0405,5.422
2023-12-25,1092280.7989,15216.7198,15063.6205,0.0405,5.4214
2023-12-26,1095042.7649,15216.6314,15063.5823,0.0405,5.4207
2023-12-27,1092319.9425,15220.6216,15067.5653,0.0405,5.4294
2023-12-28,1095003.1082,15224.3724,15071.2498,0.0405,5.4318
2023-12-29,1092484.1456,15221.8576,15068.7423,0.0405,5.428
2024-01-01,1095128.9258,15226.3518,15073.2312,0.0405,5.4085
2024-01-02,1094260.642,15227.9442,15074.8011,0.0404,5.4079
2024-01-03,1093742.4059,15228.0072,15074.8373,0.0404,5.404
2024-01-04,1093242.4169,15230.5737,15077.4345,0.0404,5.4002
2024-01-05,1094195.5782,15235.2351,15082.0117,0.041,5.3995
2024-01-08,1091920.998,15237.5811,15084.3096,0.041,5.3988
2024-01-09,1094595.9762,15237.6408,15084.3926,0.041,5.4044
2024-01-10,1095134.3105,15241.7201,15088.4049,0.041,5.4068
2024-01-11,1096764.9109,15245.9734,15092.676,0.041,5.3999
2024-01-12,1094360.2991,15245.5278,15092.142,0.041,5.393
2024-01-15,1095021.7817,15245.4394,15092.1037,0.041,5.3923
2024-01-16,1098264.8162,15249.4296,15096.0868,0.041,5.39
2024-01-17,1099259.8446,15253.1804,15099.7713,0.0409,5.3909
2024-01-18,1099061.4675,15250.6655,15097.2638,0.0409,5.3902
2024-01-19,1099638.0942,15255.1598,15101.7526,0.0409,5.3895
2024-01-22,1099426.8113,15256.7522,15103.3226,0.0409,5.392
2024-01-23,1100534.2086,15256.8152,15103.3588,0.0409,5.3913
2024-01-24,1100427.0186,15259.3817,15105.956,0.0409,5.3937
2024-01-25,1100790.8684,15264.0431,15110.5331,0.0409,5.3961
2024-01-26,1100985.3404,15266.3891,15112.8311,0.0409,5.405
2024-01-29,1100921.072,15266.4488,15112.9141,0.0409,5.4011
2024-01-30,1101504.8824,15270.5281,15116.9264,0.0408,5.3988
2024-01-31,1101522.6106,15274.7814,15121.1974,0.0408,5.3966
2024-02-01,1101918.7965,15274.3358,15120.6634,0.0408,5.3927
2024-02-02,1102143.8891,15274.2473,15120.6252,0.0408,5.392
2024-02-05,1100603.7538,15278.2376,15124.6082,0.0408,5.3913
2024-02-06,1102464.8693,15281.9884,15128.2927,0.0408,5.3922
2024-02-07,1102302.8803,15279.4735,15125.7853,0.0408,5.3931
2024-02-08,1102238.6119,15283.9678,15130.2741,0.0408,5.3955
2024-02-09,1102363.9926,15285.5602,15131.8441,0.0408,5.3979
2024-02-12,1102828.3302,15285.6232,15131.8802,0.0408,5.3941
2024-02-13,1103224.516,15288.1897,15134.4774,0.0408,5.3872
2024-02-14,1103449.6087,15292.8511,15139.0546,0.0407,5.3834
2024-02-15,1103490.0593,15295.1971,15141.3526,0.0407,5.3796
2024-02-16,1103770.5888,15295.2567,15141.4356,0.0407,5.3789
2024-02-19,1103608.5999,15299.3361,15145.4478,0.0407,5.3844
2024-02-20,1103544.3315,15303.5894,15149.7189,0.0407,5.3838
2024-02-21,1103669.7122,15303.1437,15149.1849,0.0407,5.3831
2024-02-22,1104134.0498,15303.0553,15149.1467,0.0407,5.3824
2024-02-23,1104530.2356,15307.0455,15153.1297,0.0407,5.3817
2024-02-26,1104755.3283,15310.7964,15156.8142,0.0407,5.3904
2024-02-27,1104795.7789,15308.2815,15154.3068,0.0406,5.3928
2024-02-28,1105076.3084,15312.7758,15158.7956,0.0406,5.389
2024-02-29,1104914.3194,15314.3682,15160.3655,0.0406,5.3696
2024-03-01,1104850.051,15314.4312,15160.4017,0.0406,5.3689
2024-03-04,1105118.0333,15316.9977,15162.9989,0.0406,5.3651
2024-03-05,1105582.3709,15321.6591,15167.5761,0.0406,5.3612
2024-03-06,1106121.2051,15324.0051,15169.874,0.0406,5.3606
2024-03-07,1106346.2978,15324.0647,15169.957,0.0405,5.3599
2024-03-08,1106386.7485,15328.1441,15173.9693,0.0405,5.3654
2024-03-11,1106667.2779,15332.3973,15178.2404,0.0405,5.3679
2024-03-12,1106505.289,15331.9517,15177.7064,0.0405,5.3609
2024-03-13,1106441.0206,15331.8633,15177.6682,0.0405,5.354
2024-03-14,1106566.4013,15335.8535,15181.6512,0.0405,5.3533
2024-03-15,1107030.7389,15339.6043,15185.3357,0.0405,5.351
2024-03-18,1107426.9247,15337.0895,15182.8282,0.0405,5.3519
2024-03-19,1107652.0174,15341.5838,15187.3171,0.0405,5.3512
2024-03-20,1107692.468,15343.1762,15188.887,0.0405,5.3505
2024-03-21,1107972.9975,15343.2392,15188.9232,0.0404,5.353
2024-03-22,1107811.0085,15345.8056,15191.5204,0.0404,5.3523
2024-03-25,1107746.7401,15350.4671,15196.0976,0.0404,5.3547
2024-03-26,1107872.1208,15352.8131,15198.3955,0.0404,5.3572
2024-03-27,1108336.4584,15352.8727,15198.4785,0.0404,5.366
2024-03-28,1108732.6443,15356.9521,15202.4908,0.0404,5.3621
2024-03-29,1108957.7369,15361.2053,15206.7618,0.0404,5.3599
2024-04-01,1108998.1876,15360.7597,15206.2278,0.0404,5.3576
2024-04-02,1109278.7171,15360.6713,15206.1896,0.0405,5.3537
2024-04-03,1109116.7281,15364.6615,15210.1726,0.0405,5.353
2024-04-04,1109052.4597,15368.4123,15213.8571,0.0404,5.3524
2024-04-05,1109177.8404,15365.8975,15211.3497,0.0404,5.3532
2024-04-08,1109642.178,15370.3918,15215.8385,0.0404,5.3541
2024-04-09,1110038.3638,15371.9842,15217.4085,0.0404,5.3565
2024-04-10,1110263.4565,15372.0472,15217.4446,0.0404,5.359
2024-04-11,1110303.9071,15374.6136,15220.0419,0.0404,5.3551
2024-04-12,1110584.4366,15379.2751,15224.619,0.0404,5.3482
2024-04-15,1110422.4477,15381.6211,15226.917,0.0404,5.3444
2024-04-16,1110358.1793,15381.6807,15227.0,0.0404,5.3406
2024-04-17,1110483.56,15385.76,15231.0123,0.0403,5.3399
2024-04-18,1110947.8976,15390.0133,15235.2833,0.0403,5.3455
2024-04-19,1111344.0834,15389.5677,15234.7493,0.0403,5.3448
2024-04-22,1111569.1761,15389.4793,15234.7111,0.0403,5.3441
2024-04-23,1111609.6267,15393.4695,15238.6941,0.0403,5.3434
2024-04-24,1111890.1562,15397.2203,15242.3786,0.0403,5.3427
2024-04-25,1111728.1672,15394.7055,15239.8712,0.0403,5.3514
2024-04-26,1111663.8988,15399.1998,15244.36,0.0403,5.3538
2024-04-29,1111789.2795,15400.7922,15245.9299,0.0403,5.35
2024-04-30,1112253.6171,15400.8552,15245.9661,0.0403,5.3306
2024-05-01,1112649.8029,15403.4216,15248.5633,0.0402,5.3299
2024-05-02,1112874.8956,15408.0831,15253.1405,0.0402,5.3261
2024-05-03,1112915.3463,15410.4291,15255.4384,0.0402,5.3223
2024-05-06,1113195.8757,15410.4887,15255.5214,0.0402,5.3216
2024-05-07,1113033.8868,15414.568,15259.5337,0.0402,5.3209
2024-05-08,1112969.6184,15418.8213,15263.8048,0.0402,5.3264
2024-05-09,1113094.9991,15418.3757,15263.2708,0.0402,5.3289
2024-05-10,1113559.3367,15418.2873,15263.2326,0.0402,5.3219
2024-05-13,1113955.5225,15422.2775,15267.2156,0.0402,5.315
2024-05-14,1114180.6152,15426.0283,15270.9001,0.0402,5.3143
2024-05-15,1114221.0658,15423.5135,15268.3926,0.0401,5.3121
2024-05-16,1114501.5953,15428.0077,15272.8815,0.0401,5.3129
2024-05-17,1114339.6064,15429.6002,15274.4514,0.0401,5.3122
2024-05-20,1114275.3379,15429.6632,15274.4876,0.0401,5.3116
2024-05-21,1114400.7186,15432.2296,15277.0848,0.0401,5.314
2024-05-22,1114865.0562,15436.8911,15281.662,0.0401,5.3133
2024-05-23,1115261.2421,15439.2371,15283.9599,0.0401,5.3157
2024-05-24,1115486.3347,15439.2967,15284.0429,0.0401,5.3182
2024-05-27,1115526.7854,15443.376,15288.0552,0.0401,5.327
2024-05-28,1115807.3149,15447.6293,15292.3263,0.0401,5.3231
2024-05-29,1115645.3259,15447.1837,15291.7923,0.04,5.3209
2024-05-30,1115581.0575,15447.0953,15291.754,0.04,5.3186
2024-05-31,1115706.4382,15451.0855,15295.7371,0.04,5.3147
2024-06-03,1115351.5649,15454.8363,15299.4216,0.04,5.3141
2024-06-04,1116566.9616,15452.3215,15296.9141,0.04,5.3134
2024-06-05,1115972.8434,15456.8157,15301.4029,0.04,5.3142
2024-06-06,1116013.294,15458.4082,15302.9729,0.04,5.3151
2024-06-07,1116293.8235,15458.4712,15303.0091,0.04,5.3175
2024-06-10,1116131.8345,15461.0376,15305.6063,0.04,5.32
2024-06-11,1116067.5661,15465.6991,15310.1835,0.04,5.3162
2024-06-12,1116192.9468,15468.045,15312.4814,0.0399,5.3092
2024-06-13,1116657.2844,15468.1047,15312.5644,0.0399,5.3054
2024-06-14,1117053.4703,15472.184,15316.5767,0.0399,5.3016
2024-06-17,1117278.5629,15476.4373,15320.8477,0.0399,5.3009
2024-06-18,1117319.0136,15475.9917,15320.3137,0.0399,5.3065
2024-06-19,1117599.5431,15475.9033,15320.2755,0.0399,5.3058
2024-06-20,1117437.5541,15479.8935,15324.2585,0.0399,5.3051
2024-06-21,1117373.2857,15483.6443,15327.943,0.0399,5.3044
2024-06-24,1117498.6664,15481.1295,15325.4356,0.0399,5.3037
2024-06-25,1117871.0899,15485.6237,15329.9244,0.0398,5.3124
2024-06-26,1118267.2758,15487.2162,15331.4944,0.0398,5.3148
2024-06-27,1118492.3684,15487.2792,15331.5305,0.0398,5.311
2024-06-28,1118532.8191,15489.8456,15334.1278,0.0398,5.2916
2024-07-01,1118813.3486,15494.5071,15338.7049,0.0398,5.2909
2024-07-02,1118651.3596,15496.853,15341.0029,0.0398,5.2871
2024-07-03,1118587.0912,15496.9127,15341.0859,0.0398,5.2833
2024-07-04,1119738.5344,15500.992,15345.0981,0.0398,5.2826
2024-07-05,1120202.872,15505.2453,15349.3692,0.0398,5.2819
2024-07-08,1120599.0578,15504.7997,15348.8352,0.0398,5.2875
2024-07-09,1120824.1505,15504.7113,15348.797,0.0397,5.2899
2024-07-10,1119284.0152,15508.7015,15352.78,0.0397,5.283
2024-07-11,1119564.5447,15512.4523,15356.4645,0.0397,5.276
2024-07-12,1119402.5557,15509.9375,15353.9571,0.0397,5.2753
2024-07-15,1119338.2873,15514.4317,15358.4459,0.0397,5.2731
2024-07-16,1121044.254,15516.0241,15360.0158,0.0397,5.274
2024-07-17,1121508.5916,15516.0871,15360.052,0.0397,5.2733
2024-07-18,1121904.7774,15518.6536,15362.6492,0.0397,5.2726
2024-07-19,1122129.87,15523.3151,15367.2264,0.0397,5.275
2024-07-22,1120589.7347,15525.661,15369.5243,0.0397,5.2743
2024-07-23,1120870.2642,15525.7207,15369.6073,0.0396,5.2768
2024-07-24,1120708.2753,15529.8,15373.6196,0.0396,5.2792
2024-07-25,1120644.0069,15534.0533,15377.8907,0.0396,5.288
2024-07-26,1122349.9735,15533.6077,15377.3567,0.0396,5.2842
2024-07-29,1122814.3111,15533.5193,15377.3185,0.0396,5.2819
2024-07-30,1123210.4969,15537.5095,15381.3015,0.0396,5.2796
2024-07-31,1123435.5896,15541.2603,15384.986,0.0396,5.2758
2024-08-01,1121895.4543,15538.7455,15382.4785,0.0396,5.2751
2024-08-02,1122175.9838,15543.2397,15386.9674,0.0396,5.2744
2024-08-05,1122013.9948,15544.8321,15388.5373,0.0396,5.2752
2024-08-06,1121949.7264,15544.8951,15388.5735,0.0395,5.2761
2024-08-07,1123655.6931,15547.4616,15391.1707,0.0395,5.2786
2024-08-08,1124120.0307,15552.123,15395.7479,0.0395,5.281
2024-08-09,1124516.2165,15554.469,15398.0458,0.0395,5.2772
2024-08-12,1124741.3092,15554.5287,15398.1288,0.0395,5.2702
2024-08-13,1123201.1739,15558.608,15402.1411,0.0395,5.2664
2024-08-14,1123481.7034,15562.8613,15406.4122,0.0395,5.2626
2024-08-15,1123319.7144,15562.4157,15405.8782,0.0395,5.2619
2024-08-16,1123255.446,15562.3273,15405.8399,0.0395,5.2675
2024-08-19,1124961.4126,15566.3175,15409.8229,0.0394,5.2668
2024-08-20,1125425.7502,15570.0683,15413.5074,0.0394,5.2661
2024-08-21,1125821.9361,15567.5535,15411.0,0.0394,5.2654
2024-08-22,1126047.0287,15572.0477,15415.4888,0.0394,5.2647
2024-08-23,1124506.8934,15573.6401,15417.0588,0.0394,5.2734
2024-08-26,1124787.4229,15573.7031,15417.0949,0.0394,5.2759
2024-08-27,1124625.434,15576.2696,15419.6922,0.0394,5.272
2024-08-28,1124561.1655,15580.931,15424.2693,0.0394,5.2526
2024-08-29,1126267.1322,15583.277,15426.5673,0.0394,5.2519
2024-08-30,1126731.4698,15583.3367,15426.6503,0.0394,5.2481
2024-09-02,1127127.6556,15587.416,15430.6626,0.0393,5.2443
2024-09-03,1127352.7483,15591.6693,15434.9336,0.0393,5.2436
2024-09-04,1125812.613,15591.2237,15434.3996,0.0393,5.2429
2024-09-05,1126093.1425,15591.1353,15434.3614,0.0393,5.2485
2024-09-06,1125931.1535,15595.1255,15438.3444,0.0393,5.2509
2024-09-09,1125866.8851,15598.8763,15442.0289,0.0393,5.244
2024-09-10,1127572.8518,15596.3614,15439.5215,0.0393,5.237
2024-09-11,1128037.1894,15600.8557,15444.0103,0.0393,5.2363
2024-09-12,1128433.3752,15602.4481,15445.5803,0.0393,5.2341
2024-09-13,1128658.4679,15602.5111,15445.6164,0.0393,5.235
2024-09-16,1127118.3326,15605.0776,15448.2136,0.0392,5.2343
2024-09-17,1127398.862,15609.739,15452.7908,0.0392,5.2336
2024-09-18,1127236.8731,15612.085,15455.0887,0.0392,5.236
2024-09-19,1127172.6047,15612.1447,15455.1717,0.0392,5.2353
2024-09-20,1128878.5713,15616.224,15459.184,0.0392,5.2378
2024-09-23,1129342.9089,15620.4773,15463.4551,0.0392,5.2402
2024-09-24,1129739.0947,15620.0317,15462.9211,0.0392,5.249
2024-09-25,1129964.1874,15619.9432,15462.8829,0.0392,5.2452
2024-09-26,1128424.0521,15623.9335,15466.8659,0.0392,5.2429
2024-09-27,1129436.7222,15627.6843,15470.5504,0.0392,5.2406
2024-09-30,1128542.5926,15625.1694,15468.043,0.0391,5.2368
2024-10-01,1129210.4649,15629.6637,15472.5318,0.0391,5.2361
2024-10-02,1130916.4315,15631.2561,15474.1017,0.0391,5.2354
2024-10-03,1135377.7066,15631.3191,15474.1379,0.0392,5.2363
2024-10-04,1139285.4002,15633.8856,15476.7351,0.0391,5.2371
2024-10-07,1138904.2898,15638.547,15481.3123,0.0391,5.2396
2024-10-08,1136150.0295,15640.893,15483.6102,0.0391,5.242
2024-10-09,1138882.3402,15640.9526,15483.6932,0.0391,5.2382
2024-10-10,1139015.1638,15645.032,15487.7055,0.0391,5.2313
2024-10-11,1135714.3016,15649.2853,15491.9766,0.039,5.2274
2024-10-14,1137223.3151,15648.8396,15491.4426,0.039,5.2236
2024-10-15,1137475.3559,15648.7512,15491.4043,0.039,5.2229
2024-10-16,1136541.401,15652.7414,15495.3874,0.039,5.2285
2024-10-17,1138560.1734,15656.4923,15499.0719,0.039,5.2278
2024-10-18,1137994.1944,15653.9774,15496.5644,0.039,5.2271
