,harga_emas
2023-05-01,1066227.2804
2023-05-02,1073365.8724
2023-05-03,1079915.7428
2023-05-04,1082113.1697
2023-05-05,1085596.8942
2023-05-08,1087078.5521
2023-05-09,1088373.2301
2023-05-10,1081095.9634
2023-05-11,1079143.8203
2023-05-12,1078278.6701
2023-05-15,1075152.1812
2023-05-16,1073799.8268
2023-05-17,1078953.9809
2023-05-18,1084358.0295
2023-05-19,1083619.4106
2023-05-22,1070841.0111
2023-05-23,1069420.5555
2023-05-24,1063485.1787
2023-05-25,1062413.1585
2023-05-26,1061220.7026
2023-05-29,1059203.8489
2023-05-30,1058187.8897
2023-05-31,1055974.5521
2023-06-01,1055955.4416
2023-06-02,1060804.7985
2023-06-05,1063531.3749
2023-06-06,1066296.0578
2023-06-07,1069111.555
2023-06-08,1072491.1623
2023-06-09,1074967.328
2023-06-12,1074391.9747
2023-06-13,1066080.4034
2023-06-14,1065423.7993
2023-06-15,1066764.9772
2023-06-16,1064595.2617
2023-06-19,1060496.3136
2023-06-20,1061897.1162
2023-06-21,1061466.8288
2023-06-22,1061460.3115
2023-06-23,1077008.1151
2023-06-26,1082884.4017
2023-06-27,1088708.7671
2023-06-28,1085681.9266
2023-06-29,1077711.6425
2023-06-30,1079758.0076
2023-07-03,1084409.8218
2023-07-04,1087269.4764
2023-07-05,1074934.8112
2023-07-06,1073640.1056
2023-07-07,1067663.6117
2023-07-10,1066322.4508
2023-07-11,1064405.0574
2023-07-12,1064698.0241
2023-07-13,1069079.0804
2023-07-14,1066458.8366
2023-07-17,1069602.2339
2023-07-18,1071186.2783
2023-07-19,1072923.2297
2023-07-20,1076776.3891
2023-07-21,1074084.9723
2023-07-24,1076123.9702
2023-07-25,1073401.8937
2023-07-26,1082921.1577
2023-07-27,1084482.9613
2023-07-28,1086498.7166
2023-07-31,1085342.4805
2023-08-01,1084217.2103
2023-08-02,1081998.645
2023-08-03,1082741.6351
2023-08-04,1081288.2695
2023-08-07,1083787.7835
2023-08-08,1081614.8683
2023-08-09,1082630.1627
2023-08-10,1082913.8016
2023-08-11,1084848.0236
2023-08-14,1084641.8333
2023-08-15,1085486.3468
2023-08-16,1087320.0907
2023-08-17,1091364.2062
2023-08-18,1090575.8613
2023-08-21,1090266.7729
2023-08-22,1089361.9977
2023-08-23,1086465.665
2023-08-24,1085806.1388
2023-08-25,1088450.5195
2023-08-28,1089479.5133
2023-08-29,1092072.5742
2023-08-30,1086297.4793
2023-08-31,1089166.6019
2023-09-01,1090199.6938
2023-09-04,1091792.9315
2023-09-05,1087302.8037
2023-09-06,1087504.9109
2023-09-07,1090006.022
2023-09-08,1090194.5281
2023-09-11,1091690.0817
2023-09-12,1094528.2667
2023-09-13,1089990.265
2023-09-14,1091686.0807
2023-09-15,1092356.0545
2023-09-18,1089152.2633
2023-09-19,1088651.8509
